Price,Min_Price,Brand,Model,Year of Manufacture,Kilometer Driven,Địa điểm,Thời gian đăng
8.500.000 đ,6 triệu,Yamaha,Sirius,2010,1234,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 9 ngày trước
25.800.000 đ,24 triệu,Honda,Winner X,2023,15496,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 23 ngày trước
22.500.000 đ,20 triệu,Yamaha,Janus,2023,6000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",NaN
3.900.000 đ,3 triệu,Hãng khác,Dòng khác,2007,15000,"Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",Đăng 10 ngày trước
24.500.000 đ,22 triệu,Honda,Future,2021,12486,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",NaN
24.000.000 đ,22 triệu,Yamaha,Exciter,2020,15486,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",NaN
26.500.000 đ,20 triệu,Honda,Vision,2019,10000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 9 ngày trước
18.000.000 đ,14 triệu,Yamaha,Janus,2019,10000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 9 ngày trước
8.000.000 đ,9 triệu,Honda,Wave,2004,65,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",NaN
35.500.000 đ,32 triệu,Honda,Air Blade,2021,1,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 9 ngày trước
9.800.000 đ,8 triệu,Yamaha,Sirius,2017,35,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",NaN
27.800.000 đ,22 triệu,Honda,Air Blade,2018,16000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 9 ngày trước
7.800.000 đ,7 triệu,Honda,Wave,2008,23456,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 9 ngày trước
10.900.000 đ,6 triệu,Yamaha,Sirius,2012,30,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 9 ngày trước
8.300.000 đ,8 triệu,Kymco,Candy Hi,2018,30,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 9 ngày trước
7.500.000 đ,9 triệu,Honda,Air Blade,2012,9999,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 9 ngày trước
25.500.000 đ,13 triệu,Honda,Dòng khác,2025,123,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
57.000.000 đ,51 triệu,Honda,CBR,2025,1,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 16 ngày trước
9.500.000 đ,6 triệu,Yamaha,Sirius,2010,797979,"Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",Đăng 10 ngày trước
23.000.000 đ,17 triệu,Honda,Vision,2017,14,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 10 ngày trước
12.500.000 đ,7 triệu,Yamaha,Sirius,2016,25000,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 11 ngày trước
17.500.000 đ,8 triệu,Benelli,T15,2018,12,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 10 ngày trước
9.200.000 đ,24 triệu,Honda,Air Blade,2019,18,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",NaN
8.000.000 đ,7 triệu,Honda,Click,2011,12,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 10 ngày trước
52.500.000 đ,47 triệu,Honda,Vario,2017,30,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 10 ngày trước
5.200.000 đ,5 triệu,Honda,Cub,2004,60000,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 10 ngày trước
56.500.000 đ,52 triệu,Piaggio,Sprint,2020,12000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",NaN
7.800.000 đ,6 triệu,Yamaha,Sirius,2011,13579,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",NaN
70.000.000 đ,58 triệu,Piaggio,Sprint,2022,9000,"Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Đăng 10 ngày trước
8.500.000 đ,16 triệu,Yamaha,Exciter,2017,100000,"Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",Đăng 10 ngày trước
13.000.000 đ,8 triệu,Piaggio,Liberty,2014,39000,"Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",Đăng 10 ngày trước
39.800.000 đ,37 triệu,Honda,Air Blade,2024,7000,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 11 ngày trước
13.500.000 đ,10 triệu,Piaggio,Vespa,2013,25000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 19 ngày trước
13.000.000 đ,23 triệu,Honda,Future,2008,100,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",NaN
36.000.000 đ,30 triệu,Honda,SH Mode,2016,14,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",NaN
18.500.000 đ,6 triệu,Yamaha,Sirius,2010,1,"Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",Đăng 10 ngày trước
10.500.000 đ,10 triệu,Honda,Air Blade,2011,200000,"Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",Đăng 10 ngày trước
9.200.000 đ,6 triệu,Yamaha,Mio,2013,23456,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 10 ngày trước
