Price,Year of Manufacture,Kilometer Driven,name,Showroom_Price
28500000,2018,16000.0,1,22000000.0
13500000,2012,25.0,1,9000000.0
20200000,2016,12.0,27,16000000.0
47500000,2024,2000.0,20,36000000.0
29500000,2023,1000.0,5,24000000.0
27500000,2019,2000.0,3,22000000.0
31500000,2024,3000.0,19,30000000.0
34000000,2015,25.0,6,27000000.0
26500000,2017,1000.0,1,20000000.0
38500000,2022,9000.0,1,31000000.0
15500000,2019,19.0,24,14000000.0
30000000,2014,39000.0,18,37000000.0
39000000,2013,1000.0,18,51000000.0
22500000,2017,18000.0,1,20000000.0
29500000,2020,19000.0,13,22000000.0
23500000,2020,18.0,5,17000000.0
37800000,2022,10.0,1,31000000.0
36800000,2023,6.0,49,35000000.0
19500000,2019,1000.0,1,24000000.0
5200000,2003,39000.0,23,8000000.0
27500000,1997,12345.0,28,14000000.0
26000000,2019,18.0,19,20000000.0
24500000,2020,1000.0,5,17000000.0
